,course link,image_link,course_name,organistaion_name,Registration,time_left,hashtags,fee
57,https://unstop.com//competition/best-manager-forum-for-u-managers-federal-institute-of-science-and-technology-fisat-angamaly-kerala-360175,https://d8it4huxumps7.cloudfront.net/lambda-pdfs/opportunity-bannerImages/1655314944.png?d=340x195, Best Manager  - Forum - For U Managers ," Federal Institute of Science and Technology (FISAT), Angamaly, Kerala ", 4  days left , 4  days left ,[' #competitions  #Engineering Students  #MBA Students  #Undergraduate '],"20,000"
58,https://unstop.com//workshop/urimindful-virtual-tuesday-mindful-meditation-university-of-rhode-island-360154,https://d8it4huxumps7.cloudfront.net/lambda-pdfs/opportunity-bannerImages/1655268598.png?d=340x195, URiMindful Virtual Tuesday Mindful Meditation , University of Rhode Island , 9 hours left , 9 hours left ,[' #Conferences  #Open to All '],0
59,https://unstop.com//conference/international-asteroid-day-hex-star-universe-360149,https://d8it4huxumps7.cloudfront.net/uploads/images/opportunity/mobile_banner/62a95bdbaa401_international-asteroid-day.png?d=340x195, International Asteroid Day , Hex-Star Universe , 10  days left , 10  days left ,[' #conferences  #Open to All '],0
60,https://unstop.com//internship/graphics-designer-internship-wibin-technologies-360119,https://d8it4huxumps7.cloudfront.net/lambda-pdfs/opportunity-bannerImages/1655228089.png?d=340x195, Graphics Designer Internship , Wibin Technologies , 1 day left , 1 day left ,[' #Internships  #Open to All '],0
61,https://unstop.com//creative-cultural-event/yoga-for-wellness-icfai-business-school-ibs-hyderabad-360118,https://d8it4huxumps7.cloudfront.net/uploads/images/opportunity/mobile_banner/62aa15864c732_yoga-for-wellness.png?d=340x195, Yoga for Wellness ," ICFAI Business School (IBS), Hyderabad ", 1 day left , 1 day left ,[' #cultural  #Open to All '],0
62,https://unstop.com//job/tam-bilingual-customer-support-representative-nielsen-global-360108,https://d8it4huxumps7.cloudfront.net/uploads/images/opportunity/mobile_banner/62a8bc50adbee_remote-tam-bilingual-customer-support-representative.jpg?d=340x195, TAM Bilingual Customer Support Representative , Nielsen Global , 16  days left , 16  days left ,[' #Jobs  #Graduate  #Undergraduate '],0
63,https://unstop.com//job/human-resource-expert-target-360105,https://d8it4huxumps7.cloudfront.net/uploads/images/opportunity/mobile_banner/62a8bafd168a2_human-resource-expert.jpeg?d=340x195, Human Resource Expert , target , 16  days left , 16  days left ,[' #Jobs  #Corporate  #Graduate  #Postgraduate '],0
64,https://unstop.com//job/mechanical-designer-schneider-electric-360102,https://d8it4huxumps7.cloudfront.net/uploads/images/opportunity/mobile_banner/62a8b856ca9b3_mechanical-designer.jpeg?d=340x195, Mechanical Designer , Schneider Electric , 16  days left , 16  days left ,[' #Jobs  #Corporate  #Graduate  #Postgraduate '],0
65,https://unstop.com//job/production-agent-wipro-technologies-360100,https://d8it4huxumps7.cloudfront.net/uploads/images/opportunity/mobile_banner/62a8b72b1ae98_production-agent.jpg?d=340x195, Production Agent , Wipro Technologies , 16  days left , 16  days left ,[' #Jobs  #Corporate  #Graduate  #Postgraduate '],0
66,https://unstop.com//internship/defect-data-analysis-internship-amd-advanced-micro-devices-360078,https://d8it4huxumps7.cloudfront.net/uploads/images/opportunity/mobile_banner/62a8a77f3c6af_summer-2022-soc-defect-data-analysis-co-op-internship.jpg?d=340x195, Defect Data Analysis Internship , AMD - Advanced Micro Devices , 16  days left , 16  days left ,[' #Internships  #Graduate  #Undergraduate '],0
67,https://unstop.com//internship/sales-marketing-undergraduate-internship-henkel-360076,https://d8it4huxumps7.cloudfront.net/uploads/images/opportunity/mobile_banner/62a8a5db35d40_henkel-sales-marketing-undergraduate-internships-fall-2022.jpeg?d=340x195, Sales & Marketing Undergraduate Internship , Henkel , 16  days left , 16  days left ,[' #Internships  #Undergraduate '],0
